,Feature1,Feature2,Feature3,Feature4,Feature5
0,0.8456543129485861,0.7838440256411999,0.9485853214379265,0.9228551343985861,0.39143746770659343
1,0.7443655860502902,0.644033141159851,0.8693853789277698,0.9290212118086669,0.373036137009168
2,1.048095816098457,0.6794904662110817,0.7584945785178023,0.8855340231969042,0.24004679450897562
3,1.1481280120664523,0.8286391980488361,0.8948115824489602,0.971497940228969,0.30934880992607755
4,1.0620807768339413,0.7514879309934395,0.8199714499708429,0.8998489701825005,0.27974156890885793
0,1.102702490960174,0.7994830387737122,0.931658246095236,0.8219065975352884,0.3794095389486425
1,0.9059909301112758,0.8287945026407659,0.8793525704510647,0.80544345243229,0.32228106824474223
2,1.0868533418466118,0.8014751844850369,0.8966631267695372,0.7813234335313438,0.3672857328220533
3,1.1271135945063822,0.8823282853090533,0.923931944596194,0.8878056569932891,0.36933485656641324
4,1.0289276417559534,0.7938122207402097,0.8804784836105815,0.8248430788477148,0.37280046010311946
0,1.0984529725144137,0.775565933193717,0.893465390366223,0.905075325607041,0.36382777176465303
1,0.7312598542592654,0.40669574578684214,0.6953567565709853,0.9391774609141692,0.24645231289412553
2,0.9751314383187807,0.5606047816727863,0.7629474076867772,0.921178310197402,0.3568327726286976
3,1.120106077358334,0.8041498063392241,1.001092678350654,0.9296128857915121,0.42302054628676594
4,1.232001338748181,0.768225022210338,0.9828196430956334,0.9112259704566026,0.4448830604043511
0,0.697922107528306,0.6945869014204573,0.9161537204222028,0.9203493726073539,0.180693910614176
1,0.40540715823317525,0.36772392895634887,0.6267017766057242,0.8464175386896171,0.1983215098231512
2,0.12103219259482888,0.19168365101030266,0.6303778583408367,0.9362473585356825,0.0697284567438764
3,0.15686524148525763,0.7157597185462302,0.8848034939457852,0.9711354694420864,0.10653420782626903
4,0.25344612528061455,0.6402773763439484,0.700811904691806,0.744094972137619,0.04840911922926061
0,0.9274584714121964,0.7706516586922889,0.9592363956094211,0.8502477344722332,0.34510685920222306
1,0.6557869150427948,0.6164972088431007,0.798801918572788,0.9136205253816136,0.27671836047583
2,0.7752189342891366,0.6463769175861392,0.7612570864973933,0.9240202627651442,0.272171352583105
3,0.617866489022994,0.5582465379923468,0.8813731609167279,0.9112242614865231,0.24274774107349414
4,0.7851965097349789,0.6027852636312002,0.7278302955816772,0.9112130732264583,0.3301610618989322
0,1.0446937584758313,0.9105510657510825,1.0369483932450827,0.9402781412401847,0.26665395964842037
1,1.0266925028260179,0.9313593316820677,1.0003209337957182,0.9302512756472474,0.30301264814861484
2,1.0571523709367217,0.8705028566371319,1.0305345120181524,0.9250548608109684,0.31022283684259927
3,0.8379558402890714,0.7564123096329216,0.8686561857703186,0.9264516531049853,0.3380458047226161
4,0.9905909507108275,0.9221674091600077,0.8731201631926788,0.9355188763118729,0.2824264778631948
0,0.7847668724394776,0.6479097524976842,0.7890983877607592,0.8549682647741121,0.25247062598411874
1,1.0976455715481233,0.6846546170106447,0.7989816234044076,0.8962519009244846,0.35604799803453513
2,1.0736939494282849,0.9776303963753992,1.0418311895721928,0.9366721040948212,0.35581573072201017
3,1.0768489605359126,0.9396424270305797,0.9275827023093425,0.9152716456523378,0.3387680726597392
4,0.7437845836838,0.6221590323712809,0.9307673346951504,0.9188469712432814,0.3956833462823495
0,1.0257423495374747,0.5793966675495275,0.698809809254089,0.8805624973692707,0.30278754956250997
1,0.938522860793588,0.4709356125076786,0.7607775719267753,0.8893057760409668,0.28058103403606366
2,0.7408920162220629,0.5472415882440189,0.8390028621155926,0.9142950103806189,0.31392302732291094
3,0.36264297707569565,0.7005163774332829,1.0011995401044465,0.9098976132402465,0.20947930806179257
4,0.9229743887243173,0.45153956043476623,0.9038452230727071,1.0432561496664068,0.43915888876554804
0,0.6795944510040579,0.42292850546546457,0.6363794141020598,0.9270824365963373,0.2653586041533419
1,0.7624176142107882,0.5665067124270257,0.7580935423925392,0.9077556448657764,0.23103916947633657
2,0.8157973099925417,0.5843226389925423,0.7875434613830019,0.9177231650810989,0.38298665321329184
3,0.8346233482215653,0.5331511059992567,0.7130079536714783,0.9168591349162689,0.37287661125125976
4,0.5759389591518256,0.8681858122324465,0.7840229752552902,0.9158442790656591,0.28131897410688206
0,0.9171149075679066,0.851067396758843,1.0422942386279253,0.9114099151773072,0.3218250404762996
1,0.8060920133815921,0.5562268176689849,0.7630427304155079,0.9027237744804819,0.3287913092748583
2,0.635704258941328,0.44833513747049125,0.34564336098830656,0.8934915662904317,0.17964068401025654
3,0.5594738621147152,0.4624493172141626,0.3901767265650859,0.8696539754542492,0.20589523978097227
4,0.5095095209605482,0.5688998409461695,0.457139580439409,0.9141950210191014,0.16981690018138781
