,pca_component_1,label,k_Clustering
0,-4.599614986346166,0,3
1,-4.604067773470288,0,3
2,-4.605720219166696,0,3
3,-4.603914609677294,0,3
4,-4.607386276647849,0,3
5,-3.6134310567606334,1,8
6,-3.6112997374666485,1,8
7,-3.612730572600492,1,8
8,-3.6145841843887903,1,8
9,-3.611941042719325,1,8
10,-2.6126506432102006,2,1
11,-2.601196316838754,2,1
12,-2.6066283856154415,2,1
13,-2.6151592604024274,2,1
14,-2.6152922170668482,2,1
15,-1.6085107432048622,3,5
16,-1.5971866587811459,3,5
17,-1.5922360832170228,3,5
18,-1.6039449832528718,3,5
19,-1.6004638705678265,3,5
20,-0.6166074379235321,4,9
21,-0.6162877883827343,4,9
22,-0.6162011838459747,4,9
23,-0.6104482851006816,4,9
24,-0.6137490941120003,4,9
25,0.3927638032984315,5,2
26,0.38938148664549505,5,2
27,0.3816054972530228,5,2
28,0.3840172234184735,5,2
29,0.3906298058593001,5,2
30,1.3929176559064045,6,6
31,1.3941312843073252,6,6
32,1.393192573100514,6,6
33,1.391674067039986,6,6
34,1.3916489226039475,6,6
35,2.3949730383374384,7,7
36,2.4014196681103757,7,7
37,2.393420496291846,7,7
38,2.394547778488159,7,7
39,2.393774042452907,7,7
40,3.395854544106987,8,0
41,3.3911081871153486,8,0
42,3.390484289744315,8,0
43,3.3901860782477797,8,0
44,3.388733766516914,8,0
45,4.383587058980819,9,4
46,4.3929785103653005,9,4
47,4.403046567078073,9,4
48,4.402611735539966,9,4
49,4.400571001399035,9,4
50,5.391994328558362,10,4
